cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,current_zscore,projected_zscore,projected_hi,projected_lo,category,indicator,timestamp,simulations
2020,President,polls-plus,9/21/2020,Trump,Biden,"",-1.979027,-1.476337,-.8480892,-2.104584,spending,Personal consumption expenditures,19:00:04 21 Sep 2020,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,"",-1.62591,-1.221843,-.5935957,-1.850091,manufacturing,Industrial production,19:00:04 21 Sep 2020,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,"",-3.260423,-2.770022,-2.141774,-3.398269,jobs,Nonfarm payrolls,19:00:04 21 Sep 2020,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,"",.6025671,.6645644,1.292812,.036317,inflation,Consumer price index,19:00:04 21 Sep 2020,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,"",2.891383,2.756256,3.384504,2.128009,income,Real disposable personal income,19:00:04 21 Sep 2020,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,"",-.4606665,-.2533046,.1909334,-.6975426,combined,Average of all six indicators,19:00:04 21 Sep 2020,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,"",.6949242,.6111798,1.244807,-.0224471,stock market,S&P 500,22:02:03 20 Sep 2020,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,"",-1.979027,-1.454594,-.8209677,-2.088221,spending,Personal consumption expenditures,22:02:03 20 Sep 2020,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,"",-1.62591,-1.20121,-.5675827,-1.834836,manufacturing,Industrial production,22:02:03 20 Sep 2020,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,"",-3.260423,-2.752254,-2.118627,-3.38588,jobs,Nonfarm payrolls,22:02:03 20 Sep 2020,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,"",.6025671,.6659935,1.29962,.0323666,inflation,Consumer price index,22:02:03 20 Sep 2020,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,"",2.891383,2.753778,3.387405,2.120151,income,Real disposable personal income,22:02:03 20 Sep 2020,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,"",-.4460809,-.2295177,.2185241,-.6775596,combined,Average of all six indicators,22:02:03 20 Sep 2020,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,"",.6949242,.609189,1.248212,-.0298337,stock market,S&P 500,19:00:04 19 Sep 2020,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,"",-1.979027,-1.442956,-.8039338,-2.081979,spending,Personal consumption expenditures,19:00:04 19 Sep 2020,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,"",-1.62591,-1.191828,-.5528057,-1.830851,manufacturing,Industrial production,19:00:04 19 Sep 2020,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,"",-3.260423,-2.740514,-2.101492,-3.379537,jobs,Nonfarm payrolls,19:00:04 19 Sep 2020,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,"",.6025671,.6674225,1.306445,.0283998,inflation,Consumer price index,19:00:04 19 Sep 2020,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,"",2.891383,2.75,3.389023,2.110978,income,Real disposable personal income,19:00:04 19 Sep 2020,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,"",-.4460809,-.2247812,.2270761,-.6766384,combined,Average of all six indicators,19:00:04 19 Sep 2020,40000
2020,President,polls-plus,9/18/2020,Trump,Biden,"",.6949242,.6071981,1.251617,-.0372204,stock market,S&P 500,19:20:04 18 Sep 2020,40000
2020,President,polls-plus,9/18/2020,Trump,Biden,"",-1.979027,-1.431318,-.7868999,-2.075737,spending,Personal consumption expenditures,19:20:04 18 Sep 2020,40000
2020,President,polls-plus,9/18/2020,Trump,Biden,"",-1.62591,-1.182447,-.5380287,-1.826866,manufacturing,Industrial production,19:20:04 18 Sep 2020,40000
2020,President,polls-plus,9/18/2020,Trump,Biden,"",-3.260423,-2.728775,-2.084357,-3.373194,jobs,Nonfarm payrolls,19:20:04 18 Sep 2020,40000
2020,President,polls-plus,9/18/2020,Trump,Biden,"",.6025671,.6688516,1.31327,.024433,inflation,Consumer price index,19:20:04 18 Sep 2020,40000
2020,President,polls-plus,9/18/2020,Trump,Biden,"",2.891383,2.746223,3.390642,2.101805,income,Real disposable personal income,19:20:04 18 Sep 2020,40000
2020,President,polls-plus,9/18/2020,Trump,Biden,"",-.4460809,-.2200446,.2356281,-.6757174,combined,Average of all six indicators,19:20:04 18 Sep 2020,40000
2020,President,polls-plus,9/17/2020,Trump,Biden,"",.7786006,.6868388,1.336591,.0370871,stock market,S&P 500,19:00:03 17 Sep 2020,40000
2020,President,polls-plus,9/17/2020,Trump,Biden,"",-1.979027,-1.409237,-.7594857,-2.058989,spending,Personal consumption expenditures,19:00:03 17 Sep 2020,40000
2020,President,polls-plus,9/17/2020,Trump,Biden,"",-1.62591,-1.16137,-.5116181,-1.811121,manufacturing,Industrial production,19:00:03 17 Sep 2020,40000
2020,President,polls-plus,9/17/2020,Trump,Biden,"",-3.260423,-2.710759,-2.061007,-3.360511,jobs,Nonfarm payrolls,19:00:03 17 Sep 2020,40000
2020,President,polls-plus,9/17/2020,Trump,Biden,"",.6025671,.6702806,1.320032,.0205289,inflation,Consumer price index,19:00:03 17 Sep 2020,40000
2020,President,polls-plus,9/17/2020,Trump,Biden,"",2.891383,2.743813,3.393564,2.094061,income,Real disposable personal income,19:00:03 17 Sep 2020,40000
2020,President,polls-plus,9/17/2020,Trump,Biden,"",-.4321348,-.196739,.2627048,-.6561828,combined,Average of all six indicators,19:00:03 17 Sep 2020,40000
2020,President,polls-plus,9/16/2020,Trump,Biden,"",.8424696,.7471771,1.402334,.0920204,stock market,S&P 500,23:12:03 16 Sep 2020,40000
2020,President,polls-plus,9/16/2020,Trump,Biden,"",-1.979027,-1.389269,-.7341128,-2.044426,spending,Personal consumption expenditures,23:12:03 16 Sep 2020,40000
2020,President,polls-plus,9/16/2020,Trump,Biden,"",-1.62591,-1.142632,-.4874756,-1.797789,manufacturing,Industrial production,23:12:03 16 Sep 2020,40000
2020,President,polls-plus,9/16/2020,Trump,Biden,"",-3.260423,-2.693994,-2.038838,-3.349151,jobs,Nonfarm payrolls,23:12:03 16 Sep 2020,40000
2020,President,polls-plus,9/16/2020,Trump,Biden,"",.6025671,.6717096,1.326866,.0165529,inflation,Consumer price index,23:12:03 16 Sep 2020,40000
